"Configuration","Configuratie"
"General Configuration","Algemene instellingen"
"Module Enable","Module ingeschakeld"
"Connection settings","Connectie instellingen"
"Authorization","Authorisatie"
"Connect to Sendy","Verbind met Sendy"
"Sendy connection successful, you are connected as: %name","Sendy verbinding geslaagd, u bent verbonden als: %name"
"An error occurred connecting to Sendy: %error","Er is een fout opgetreden met de Sendy verbinding: %error"
"Sometimes reconnecting might solve your issues:","Soms kan het opnieuw verbinden met Sendy uw problemen oplossen:"
"To be able to use the Sendy plugin you will need to connect this shop to your Sendy account:","Om de Sendy plugin te kunnen gebruiken, dient u Magento te koppelen met uw Sendy account:"
"Shipping Labels","Verzendlabels"
"Available Shipping Methods","Beschikbare verzendmethoden"
"Select shipping methods for which you can generate shipping labels","Selecteer de verzendmethoden waarvoor labels gegenereerd mogen worden"
"Import Weight","Import gewicht"
"Import weight when creating a shipment","Importeer gewicht bij aanmaken van zending"
"Enable or disable the import of weight when creating a shipment","Schakel het importeren van het gewicht in of uit bij het aanmaken van een zending."
"Sendy shop","Sendy shop"
"Select the shop to be used when creating the shipping label for this store. Sendy shops can only be loaded when you have a succesful connecction with Sendy in Connection Settings.","Selecteer de shop die gebruikt wordt voor het aanmaken van zendingen voor deze storeview. Sendy shops kunnen alleen ingesteld worden als er een werkende koppeling met Sendy is. Zie Connectie instellingen."
"Processing","Afhandeling"
"Processing method","Werkwijze"
"Select which processing method to use for processing shipments.","Kies welke werkwijze u wilt gebruiken voor de afhandeling van verzendingen."
"Create shipments in Magento","Zending aanmaken in Magento"
"Process shipments in Sendy","Verwerk zendingen in Sendy"
"Send order to Sendy when status changed to", "Verstuur orders naar Sendy als de status wordt gewijzigd naar"
"Download Sendy Shipping Labels","Download Sendy Verzendlabels"
"Are you sure you want to download labels for selected items?","Weet u zeker dat u de verzendlabels wilt downloaden?"
"Pickup point","Afhaalpunt"
"Select pick-up-point","Selecteer Afhaalpunt"
"Change pick-up-point","Wijzig Afhaalpunt"
"Opening hours","Openingstijden"
"Selected Pickup point:","Geselecteerd Afhaalpunt:"
"Select the pickuppoint carrier to be used with the pickuppoint shipping method.","Kies de vervoerder die voor het afhaalpunt verzendmethode gebruikt wordt."
"Carrier","Vervoerder"
"Amount of packages","Aantal pakketten"
"Shipping preference","Verzendprofiel"
"Sendy create Label","Sendy label maken"
"Sendy shipment","Sendy verzending"
"Create Sendy Labels","Sendy verzendlabels aanmaken"
"Failed to create shipment for order %1: %2","Probleem tijdens het aanmaken van verzending voor order %1: %2"
"Failed to create shipments: %1","Probleem tijdens het aanmaken van verzendingen: %1"
"Shipments successfully created for orders.","Verzendingen succesvol aangemaakt voor orders."
"Not all shipments were created successfully.","Niet alle verzendingen zijn succesvol aangemaakt."
"Please fill in your Zip Code and select a Country.","Vul uw postcode in en selecteer een land."
"Pickup point saved successfully","Afhaalpunt succesvol opgeslagen"
"Something went wrong while saving the Pickup point. Please try again later.","Er is iets misgegaan bij het opslaan van het Afhaalpunt. Probeer het later opnieuw."
"Please select a Pickup point.","Selecteer een afhaalpunt."
"Do you really want to logout this magento from Sendy?","Weet u zeker dat u de koppeling met Sendy wilt verwijderen?"
"Log out","Uitloggen"
"Sendy connection is not fully configured.","De sendy verbinding is nog niet volledig geconfigureerd."
"Order Status","Order Status"
"Update order status","Wijzig order status"
"Enable or disable updating the status of the order after creating a shipping label","Zet het wijzigen van de order status na het aanmaken van een verzendlabel aan of uit"
"Select the order status that will be set after creating a shipping label","Kies de order status die gezet wordt na het aanmaken van een verzendlabel"
